review_id,date,product,rating,review_text
1,2026-01-25,Vitamin C Serum,5,Customer support replied in minutes and solved it.
2,2026-05-14,Retinol Night Oil,5,The team was so helpful when I asked about ingredients.
3,2026-04-25,Hydrating Cream,4,Delivery was quick and the package was intact.
4,2026-06-06,Sunscreen SPF50,5,Texture is lovely and it actually works.
5,2026-01-06,Sunscreen SPF50,4,Delivery was quick and the package was intact.
6,2026-06-18,Sunscreen SPF50,5,"Worth every dollar, does more than pricier brands."
7,2026-06-09,Retinol Night Oil,5,The team was so helpful when I asked about ingredients.
8,2026-03-23,Gentle Cleanser,5,"Great value for the price, will rebuy."
9,2026-04-24,Retinol Night Oil,2,Emailed support twice and got no reply.
10,2026-03-20,Retinol Night Oil,2,"Overpriced for what you get, not worth it."
11,2026-05-06,Retinol Night Oil,2,"Took three weeks to arrive, way too slow."
12,2026-01-06,Sunscreen SPF50,1,Package was damaged and leaking on arrival.
13,2026-02-14,Sunscreen SPF50,5,Customer support replied in minutes and solved it.
14,2026-01-24,Hydrating Cream,4,Texture is lovely and it actually works.
15,2026-04-13,Sunscreen SPF50,4,"Worth every dollar, does more than pricier brands."
16,2026-06-21,Sunscreen SPF50,2,"Took three weeks to arrive, way too slow."
17,2026-03-29,Sunscreen SPF50,4,"Worth every dollar, does more than pricier brands."
18,2026-04-06,Vitamin C Serum,5,The team was so helpful when I asked about ingredients.
19,2026-05-20,Vitamin C Serum,5,Delivery was quick and the package was intact.
20,2026-04-03,Gentle Cleanser,1,"Took three weeks to arrive, way too slow."
21,2026-05-01,Gentle Cleanser,5,Texture is lovely and it actually works.
22,2026-01-31,Vitamin C Serum,4,"Arrived two days early, super fast shipping."
23,2026-01-07,Gentle Cleanser,5,"My skin feels amazing after two weeks, great quality."
24,2026-03-09,Gentle Cleanser,5,"Arrived two days early, super fast shipping."
25,2026-02-27,Gentle Cleanser,5,"Arrived two days early, super fast shipping."
26,2026-02-10,Retinol Night Oil,5,The team was so helpful when I asked about ingredients.
27,2026-05-01,Gentle Cleanser,2,Package was damaged and leaking on arrival.
28,2026-05-04,Hydrating Cream,5,"My skin feels amazing after two weeks, great quality."
29,2026-02-19,Hydrating Cream,2,"Took three weeks to arrive, way too slow."
30,2026-02-06,Sunscreen SPF50,1,Way too expensive compared to similar serums.
31,2026-03-29,Hydrating Cream,5,Customer support replied in minutes and solved it.
32,2026-02-23,Gentle Cleanser,2,Emailed support twice and got no reply.
33,2026-04-16,Vitamin C Serum,5,Texture is lovely and it actually works.
34,2026-06-30,Vitamin C Serum,5,"Great value for the price, will rebuy."
35,2026-02-12,Gentle Cleanser,4,Customer support replied in minutes and solved it.
36,2026-06-13,Vitamin C Serum,5,Customer support replied in minutes and solved it.
37,2026-03-16,Retinol Night Oil,5,"Arrived two days early, super fast shipping."
38,2026-06-28,Gentle Cleanser,5,Texture is lovely and it actually works.
39,2026-03-30,Vitamin C Serum,5,Delivery was quick and the package was intact.
40,2026-06-03,Hydrating Cream,2,"Took three weeks to arrive, way too slow."
41,2026-06-30,Vitamin C Serum,4,The team was so helpful when I asked about ingredients.
42,2026-05-09,Sunscreen SPF50,2,"Stopped working after a week, disappointed."
43,2026-06-13,Vitamin C Serum,2,"Stopped working after a week, disappointed."
44,2026-03-03,Gentle Cleanser,5,"Great value for the price, will rebuy."
45,2026-01-02,Hydrating Cream,4,"My skin feels amazing after two weeks, great quality."
46,2026-03-21,Vitamin C Serum,5,"Great value for the price, will rebuy."
47,2026-01-19,Hydrating Cream,4,"Great value for the price, will rebuy."
48,2026-06-14,Gentle Cleanser,2,Support was rude and refused a refund.
49,2026-06-12,Gentle Cleanser,4,"Arrived two days early, super fast shipping."
50,2026-05-17,Vitamin C Serum,5,"Arrived two days early, super fast shipping."
51,2026-05-19,Hydrating Cream,2,"Took three weeks to arrive, way too slow."
52,2026-01-02,Gentle Cleanser,2,Way too expensive compared to similar serums.
53,2026-02-24,Hydrating Cream,4,"Worth every dollar, does more than pricier brands."
54,2026-06-24,Gentle Cleanser,1,"Overpriced for what you get, not worth it."
55,2026-01-18,Vitamin C Serum,2,Way too expensive compared to similar serums.
56,2026-06-29,Retinol Night Oil,2,Way too expensive compared to similar serums.
57,2026-02-10,Vitamin C Serum,4,Texture is lovely and it actually works.
58,2026-06-18,Sunscreen SPF50,1,"Overpriced for what you get, not worth it."
59,2026-06-28,Gentle Cleanser,5,Customer support replied in minutes and solved it.
60,2026-03-21,Vitamin C Serum,4,The team was so helpful when I asked about ingredients.
61,2026-02-26,Hydrating Cream,1,Emailed support twice and got no reply.
62,2026-05-30,Retinol Night Oil,4,"Worth every dollar, does more than pricier brands."
63,2026-04-01,Hydrating Cream,2,Way too expensive compared to similar serums.
64,2026-03-24,Gentle Cleanser,2,"Overpriced for what you get, not worth it."
65,2026-01-05,Hydrating Cream,1,Package was damaged and leaking on arrival.
66,2026-01-10,Vitamin C Serum,5,Customer support replied in minutes and solved it.
67,2026-05-30,Sunscreen SPF50,5,"My skin feels amazing after two weeks, great quality."
68,2026-03-04,Gentle Cleanser,5,"Great value for the price, will rebuy."
69,2026-01-17,Gentle Cleanser,5,The team was so helpful when I asked about ingredients.
70,2026-02-15,Retinol Night Oil,4,Texture is lovely and it actually works.
71,2026-03-06,Hydrating Cream,5,Texture is lovely and it actually works.
72,2026-06-24,Gentle Cleanser,4,"Arrived two days early, super fast shipping."
73,2026-03-18,Sunscreen SPF50,5,"Arrived two days early, super fast shipping."
74,2026-01-14,Sunscreen SPF50,1,Support was rude and refused a refund.
75,2026-05-07,Gentle Cleanser,1,Support was rude and refused a refund.
76,2026-01-24,Sunscreen SPF50,5,The team was so helpful when I asked about ingredients.
77,2026-03-27,Retinol Night Oil,5,"Great value for the price, will rebuy."
78,2026-04-24,Gentle Cleanser,5,Customer support replied in minutes and solved it.
79,2026-04-14,Sunscreen SPF50,5,"My skin feels amazing after two weeks, great quality."
80,2026-06-12,Sunscreen SPF50,4,"Arrived two days early, super fast shipping."
81,2026-04-04,Hydrating Cream,4,Customer support replied in minutes and solved it.
82,2026-06-28,Vitamin C Serum,5,"Great value for the price, will rebuy."
83,2026-02-08,Vitamin C Serum,2,"Overpriced for what you get, not worth it."
84,2026-02-06,Vitamin C Serum,2,Way too expensive compared to similar serums.
85,2026-03-02,Sunscreen SPF50,2,Support was rude and refused a refund.
86,2026-03-23,Sunscreen SPF50,5,Customer support replied in minutes and solved it.
87,2026-05-26,Vitamin C Serum,1,"Overpriced for what you get, not worth it."
88,2026-01-31,Gentle Cleanser,2,"Broke me out badly, the formula feels cheap."
89,2026-01-21,Hydrating Cream,2,Emailed support twice and got no reply.
90,2026-06-02,Gentle Cleanser,4,"Great value for the price, will rebuy."
91,2026-06-15,Hydrating Cream,2,Way too expensive compared to similar serums.
92,2026-02-24,Sunscreen SPF50,2,"Broke me out badly, the formula feels cheap."
93,2026-03-09,Vitamin C Serum,4,"Worth every dollar, does more than pricier brands."
94,2026-04-30,Hydrating Cream,2,"Overpriced for what you get, not worth it."
95,2026-02-22,Vitamin C Serum,4,Customer support replied in minutes and solved it.
96,2026-06-26,Gentle Cleanser,1,Emailed support twice and got no reply.
97,2026-06-17,Hydrating Cream,2,"Overpriced for what you get, not worth it."
98,2026-04-02,Hydrating Cream,1,"Stopped working after a week, disappointed."
99,2026-06-09,Gentle Cleanser,5,"Arrived two days early, super fast shipping."
100,2026-05-17,Hydrating Cream,5,The team was so helpful when I asked about ingredients.
101,2026-04-12,Retinol Night Oil,2,Package was damaged and leaking on arrival.
102,2026-05-02,Sunscreen SPF50,5,Texture is lovely and it actually works.
103,2026-01-02,Sunscreen SPF50,2,"Took three weeks to arrive, way too slow."
104,2026-05-18,Hydrating Cream,4,"Arrived two days early, super fast shipping."
105,2026-05-27,Vitamin C Serum,5,Delivery was quick and the package was intact.
106,2026-06-03,Vitamin C Serum,2,"Took three weeks to arrive, way too slow."
107,2026-04-14,Sunscreen SPF50,1,Emailed support twice and got no reply.
108,2026-03-05,Vitamin C Serum,2,"Broke me out badly, the formula feels cheap."
109,2026-06-14,Hydrating Cream,2,Support was rude and refused a refund.
110,2026-02-03,Retinol Night Oil,1,"Took three weeks to arrive, way too slow."
111,2026-04-06,Gentle Cleanser,5,"Worth every dollar, does more than pricier brands."
112,2026-03-30,Gentle Cleanser,1,"Overpriced for what you get, not worth it."
113,2026-02-16,Vitamin C Serum,5,"Arrived two days early, super fast shipping."
114,2026-03-30,Hydrating Cream,5,"Worth every dollar, does more than pricier brands."
115,2026-05-22,Retinol Night Oil,5,Customer support replied in minutes and solved it.
116,2026-03-11,Retinol Night Oil,2,Package was damaged and leaking on arrival.
117,2026-04-03,Gentle Cleanser,2,"Overpriced for what you get, not worth it."
118,2026-04-19,Retinol Night Oil,4,Texture is lovely and it actually works.
119,2026-05-27,Retinol Night Oil,5,Texture is lovely and it actually works.
120,2026-03-05,Sunscreen SPF50,4,The team was so helpful when I asked about ingredients.
121,2026-05-07,Hydrating Cream,2,Emailed support twice and got no reply.
122,2026-01-04,Sunscreen SPF50,5,Customer support replied in minutes and solved it.
123,2026-01-27,Retinol Night Oil,1,Support was rude and refused a refund.
124,2026-05-04,Hydrating Cream,5,"Arrived two days early, super fast shipping."
125,2026-02-08,Gentle Cleanser,2,"Broke me out badly, the formula feels cheap."
126,2026-04-23,Sunscreen SPF50,2,Way too expensive compared to similar serums.
127,2026-06-17,Vitamin C Serum,1,Emailed support twice and got no reply.
128,2026-04-16,Retinol Night Oil,4,Customer support replied in minutes and solved it.
129,2026-01-09,Hydrating Cream,5,"Great value for the price, will rebuy."
130,2026-06-01,Sunscreen SPF50,5,"Great value for the price, will rebuy."
131,2026-02-15,Vitamin C Serum,5,The team was so helpful when I asked about ingredients.
132,2026-03-25,Gentle Cleanser,4,Texture is lovely and it actually works.
133,2026-05-19,Sunscreen SPF50,4,Delivery was quick and the package was intact.
134,2026-01-01,Hydrating Cream,5,Texture is lovely and it actually works.
135,2026-04-10,Sunscreen SPF50,2,"Took three weeks to arrive, way too slow."
136,2026-04-06,Vitamin C Serum,1,"Took three weeks to arrive, way too slow."
137,2026-04-15,Retinol Night Oil,2,"Stopped working after a week, disappointed."
138,2026-04-25,Vitamin C Serum,2,"Broke me out badly, the formula feels cheap."
139,2026-05-26,Retinol Night Oil,5,The team was so helpful when I asked about ingredients.
140,2026-06-07,Hydrating Cream,2,"Took three weeks to arrive, way too slow."
141,2026-01-16,Sunscreen SPF50,2,Emailed support twice and got no reply.
142,2026-01-31,Sunscreen SPF50,4,"My skin feels amazing after two weeks, great quality."
143,2026-04-06,Sunscreen SPF50,4,"My skin feels amazing after two weeks, great quality."
144,2026-03-23,Sunscreen SPF50,5,"Worth every dollar, does more than pricier brands."
145,2026-05-02,Retinol Night Oil,5,Texture is lovely and it actually works.
146,2026-03-28,Gentle Cleanser,1,Support was rude and refused a refund.
147,2026-04-26,Retinol Night Oil,5,"Worth every dollar, does more than pricier brands."
148,2026-01-16,Vitamin C Serum,5,"My skin feels amazing after two weeks, great quality."
149,2026-06-24,Sunscreen SPF50,4,Delivery was quick and the package was intact.
150,2026-06-19,Retinol Night Oil,5,"Arrived two days early, super fast shipping."
151,2026-04-18,Vitamin C Serum,2,Package was damaged and leaking on arrival.
152,2026-03-06,Vitamin C Serum,5,"Arrived two days early, super fast shipping."
153,2026-03-20,Sunscreen SPF50,5,Delivery was quick and the package was intact.
154,2026-01-07,Sunscreen SPF50,4,The team was so helpful when I asked about ingredients.
155,2026-02-04,Hydrating Cream,4,"My skin feels amazing after two weeks, great quality."
156,2026-01-01,Hydrating Cream,2,Package was damaged and leaking on arrival.
157,2026-06-19,Sunscreen SPF50,2,"Stopped working after a week, disappointed."
158,2026-04-01,Gentle Cleanser,5,Delivery was quick and the package was intact.
159,2026-03-18,Vitamin C Serum,4,Customer support replied in minutes and solved it.
160,2026-06-22,Hydrating Cream,5,"My skin feels amazing after two weeks, great quality."
161,2026-01-19,Hydrating Cream,5,"Great value for the price, will rebuy."
162,2026-04-24,Hydrating Cream,2,Package was damaged and leaking on arrival.
163,2026-01-06,Hydrating Cream,5,"My skin feels amazing after two weeks, great quality."
164,2026-03-14,Vitamin C Serum,1,Way too expensive compared to similar serums.
165,2026-04-12,Retinol Night Oil,5,Customer support replied in minutes and solved it.
166,2026-02-08,Gentle Cleanser,2,"Broke me out badly, the formula feels cheap."
167,2026-02-25,Retinol Night Oil,2,Package was damaged and leaking on arrival.
168,2026-05-22,Retinol Night Oil,5,The team was so helpful when I asked about ingredients.
169,2026-02-15,Vitamin C Serum,5,Customer support replied in minutes and solved it.
170,2026-04-22,Retinol Night Oil,2,"Took three weeks to arrive, way too slow."
171,2026-02-16,Sunscreen SPF50,4,Delivery was quick and the package was intact.
172,2026-03-11,Hydrating Cream,4,"Arrived two days early, super fast shipping."
173,2026-04-05,Sunscreen SPF50,2,Emailed support twice and got no reply.
174,2026-03-15,Sunscreen SPF50,2,Support was rude and refused a refund.
175,2026-04-13,Gentle Cleanser,5,Texture is lovely and it actually works.
176,2026-03-26,Retinol Night Oil,1,"Took three weeks to arrive, way too slow."
